DOB,Genotype,Sex,Spore_level,Animal,TimeTillDeathDays,Censured,Infected_Uninfected,Susceptible,Infected,Exposed,Total_Offspring,Length_Day_7,Length_Day_20,Growth,Age_1st_clutch
6/12/19,A45,F,0,1,14,0,Control,1,0,0,3,0.1152,0.16512,0.04992,15
6/12/19,A45,F,0,2,2,1,Control,1,0,0,,0.1229,,,
6/12/19,A45,F,0,3,2,1,Control,1,0,0,,0.119,,,
6/12/19,A45,F,0,4,14,0,Control,1,0,0,2,0.1094,0.1632,0.05376,19
6/12/19,A45,F,0,5,14,0,Control,1,0,0,0,0.1286,0.15744,0.0288,
6/12/19,A45,F,0,6,1,1,Control,1,0,0,,-,,,
6/12/19,A45,F,0,7,14,0,Control,1,0,0,1,0.121,0.16128,0.04032,16
6/12/19,A45,F,0,8,14,0,Control,1,0,0,3,0.1152,0.16128,0.04608,18
6/12/19,A45,F,0,9,14,0,Control,1,0,0,4,0.1133,0.15552,0.04224,18
6/12/19,A45,F,0,10,13,1,Control,1,0,0,3,0.1152,,,12
6/12/19,A45,F,0,11,14,0,Control,1,0,0,4,0.1133,0.15744,0.04416,18
6/12/19,A45,F,0,12,14,0,Control,1,0,0,2,0.1018,0.16128,0.05952,19
6/12/19,A45,F,0,13,14,0,Control,1,0,0,2,0.1114,0.1632,0.05184,19
6/12/19,A45,F,0,14,14,0,Control,1,0,0,2,0.1152,0.16512,0.04992,12
6/12/19,A45,F,0,15,14,0,Control,1,0,0,1,0.121,0.16896,0.048,19
6/12/19,A45,F,0,16,14,0,Control,1,0,0,2,0.121,0.16128,0.04032,18
6/12/19,A45,F,0,17,14,0,Control,1,0,0,2,0.1171,0.15936,0.04224,16
6/12/19,A45,F,0,18,14,0,Control,1,0,0,1,0.121,0.1632,0.04224,19
6/12/19,A45,F,0,19,14,0,Control,1,0,0,5,0.119,0.15936,0.04032,18
6/12/19,A45,F,0,20,14,0,Control,1,0,0,0,0.1152,0.17088,0.05568,
6/12/19,A45,F,0,21,14,0,Control,1,0,0,1,0.1344,0.17088,0.03648,12
6/12/19,A45,F,0,22,14,0,Control,1,0,0,1,0.1248,0.16128,0.03648,18
6/12/19,A45,F,0,23,14,0,Control,1,0,0,2,0.1248,0.16128,0.03648,19
6/12/19,A45,F,0,24,14,0,Control,1,0,0,5,0.1248,0.1632,0.0384,18
6/12/19,A45,F,0,25,14,0,Control,1,0,0,2,0.119,0.16512,0.04608,19
6/12/19,A45,F,0,26,14,0,Control,1,0,0,0,0.1152,0.15168,0.03648,
6/12/19,A45,F,0,27,14,1,Control,1,0,0,3,0.1306,,,12
6/12/19,A45,F,0,28,14,0,Control,1,0,0,1,0.1248,0.17664,0.05184,12
6/12/19,A45,F,0,29,14,0,Control,1,0,0,4,0.119,0.1632,0.04416,12
6/12/19,A45,F,0,30,14,0,Control,1,0,0,3,0.1248,0.15936,0.03456,14
6/12/19,Midland 252,F,0,1,14,0,Control,1,0,0,9,0.1248,0.144,0.0192,8
6/12/19,Midland 252,F,0,2,14,0,Control,1,0,0,3,0.1094,0.14592,0.03648,16
6/12/19,Midland 252,F,0,3,14,0,Control,1,0,0,9,0.119,0.14784,0.0288,9
6/12/19,Midland 252,F,0,4,14,0,Control,1,0,0,5,0.1152,0.1536,0.0384,9
6/12/19,Midland 252,F,0,5,14,0,Control,1,0,0,3,0.121,0.15936,0.0384,10
6/12/19,Midland 252,F,0,6,14,0,Control,1,0,0,7,0.1133,0.144,0.03072,12
6/12/19,Midland 252,F,0,7,14,0,Control,1,0,0,2,0.0864,0.1344,0.048,18
6/12/19,Midland 252,F,0,8,14,0,Control,1,0,0,5,0.121,0.15552,0.03456,9
6/12/19,Midland 252,F,0,9,14,0,Control,1,0,0,4,0.1152,0.15744,0.04224,12
6/12/19,Midland 252,F,0,10,14,0,Control,1,0,0,3,0.1248,0.14592,0.02112,10
6/12/19,Midland 252,F,0,11,1,1,Control,1,0,0,,-,-,,
6/12/19,Midland 252,F,0,12,14,0,Control,1,0,0,11,0.1267,0.1536,0.02688,8
6/12/19,Midland 252,F,0,13,13,0,Control,1,0,0,2,0.1152,-,,13
6/12/19,Midland 252,F,0,14,14,1,Control,1,0,0,4,0.1229,-,,11
6/12/19,Midland 252,F,0,15,14,0,Control,1,0,0,5,0.1094,0.14016,0.03072,12
6/12/19,Midland 252,F,0,16,14,0,Control,1,0,0,12,0.1402,0.16512,0.02496,8
6/12/19,Midland 252,F,0,17,14,0,Control,1,0,0,10,0.1248,0.1536,0.0288,8
6/12/19,Midland 252,F,0,18,14,0,Control,1,0,0,11,0.1133,0.15936,0.04608,11
6/12/19,Midland 252,F,0,19,14,0,Control,1,0,0,10,0.1152,0.1536,0.0384,15
6/12/19,Midland 252,F,0,20,7,1,Control,1,0,0,2,0.1075,-,,12
6/12/19,Midland 252,F,0,21,14,0,Control,1,0,0,6,0.1248,0.14976,0.02496,7
6/12/19,Midland 252,F,0,22,10,1,Control,1,0,0,3,0.1344,-,,9
6/12/19,Midland 252,F,0,23,12,1,Control,1,0,0,5,0.121,-,,9
6/12/19,Midland 252,F,0,24,14,0,Control,1,0,0,5,0.1114,0.13056,0.0192,8
6/12/19,Midland 252,F,0,25,14,0,Control,1,0,0,8,0.119,0.14976,0.03072,11
6/12/19,Midland 252,F,0,26,14,0,Control,1,0,0,7,0.121,0.15552,0.03456,11
6/12/19,Midland 252,F,0,27,14,0,Control,1,0,0,9,0.1286,0.1536,0.02496,8
6/12/19,Midland 252,F,0,28,1,1,Control,1,0,0,,-,-,,
6/12/19,Midland 252,F,0,29,14,0,Control,1,0,0,6,0.1325,0.1536,0.02112,8
6/12/19,Midland 252,F,0,30,4,1,Control,1,0,0,4,0.1613,-,,9
6/12/19,Midland 281,F,0,1,14,0,Control,1,0,0,7,0.1133,0.14976,0.03648,11
6/12/19,Midland 281,F,0,2,14,0,Control,1,0,0,0,0.1229,0.15744,0.03456,
6/12/19,Midland 281,F,0,3,14,0,Control,1,0,0,2,0.1325,0.1632,0.03072,12
6/12/19,Midland 281,F,0,4,12,1,Control,1,0,0,4,0.1171,-,,11
6/12/19,Midland 281,F,0,5,14,0,Control,1,0,0,0,0.1114,0.15744,0.04608,
6/12/19,Midland 281,F,0,6,14,0,Control,1,0,0,0,0.1267,0.15552,0.0288,
6/12/19,Midland 281,F,0,7,14,0,Control,1,0,0,0,0.1056,0.1536,0.048,
6/12/19,Midland 281,F,0,8,6,1,Control,1,0,0,0,0.1229,-,,
6/12/19,Midland 281,F,0,9,8,1,Control,1,0,0,0,0.1306,-,,
6/12/19,Midland 281,F,0,10,14,0,Control,1,0,0,2,0.1306,0.15936,0.0288,12
6/12/19,Midland 281,F,0,11,14,0,Control,1,0,0,2,0.1325,0.15552,0.02304,9
6/12/19,Midland 281,F,0,12,14,0,Control,1,0,0,0,0.121,0.16128,0.04032,
6/12/19,Midland 281,F,0,13,14,0,Control,1,0,0,4,0.121,0.14208,0.02112,9
6/12/19,Midland 281,F,0,14,14,0,Control,1,0,0,3,0.1248,0.15168,0.02688,11
6/12/19,Midland 281,F,0,15,14,0,Control,1,0,0,0,0.121,0.14208,0.02112,
6/12/19,Midland 281,F,0,16,14,0,Control,1,0,0,2,0.1075,0.1536,0.04608,18
6/12/19,Midland 281,F,0,17,14,0,Control,1,0,0,4,0.119,0.15744,0.0384,11
6/12/19,Midland 281,F,0,18,14,0,Control,1,0,0,5,0.1344,0.16128,0.02688,9
6/12/19,Midland 281,F,0,19,14,0,Control,1,0,0,1,0.119,0.1632,0.04416,20
6/12/19,Midland 281,F,0,20,14,0,Control,1,0,0,2,0.1267,0.1536,0.02688,12
6/12/19,Midland 281,F,0,21,13,0,Control,1,0,0,2,0.1248,-,,11
6/12/19,Midland 281,F,0,22,14,0,Control,1,0,0,0,0.121,0.14976,0.0288,
6/12/19,Midland 281,F,0,23,14,0,Control,1,0,0,2,0.1229,0.15936,0.03648,11
6/12/19,Midland 281,F,0,24,14,0,Control,1,0,0,3,0.1325,0.15936,0.02688,10
6/12/19,Midland 281,F,0,25,14,0,Control,1,0,0,2,0.1229,0.15744,0.03456,11
6/12/19,Midland 281,F,0,26,14,0,Control,1,0,0,3,0.1325,0.15552,0.02304,9
6/12/19,Midland 281,F,0,27,14,0,Control,1,0,0,2,0.1344,0.16704,0.03264,16
6/12/19,Midland 281,F,0,28,14,0,Control,1,0,0,1,0.0922,0.14016,0.048,11
6/12/19,Midland 281,F,0,29,14,0,Control,1,0,0,3,0.1344,0.16128,0.02688,10
6/12/19,Midland 281,F,0,30,14,0,Control,1,0,0,7,0.1344,0.15936,0.02496,9
6/12/19,Standard,F,0,1,3,1,Control,1,0,0,,0.1248,,,
6/12/19,Standard,F,0,2,14,0,Control,1,0,0,0,0.0922,0.1056,0.01344,
6/12/19,Standard,F,0,3,2,1,Control,1,0,0,,0.1306,,,7
6/12/19,Standard,F,0,4,10,1,Control,1,0,0,3,0.1306,,,8
6/12/19,Standard,F,0,5,14,0,Control,1,0,0,4,0.1325,0.1632,0.03072,9
6/12/19,Standard,F,0,6,14,0,Control,1,0,0,6,0.1344,0.1632,0.0288,9
6/12/19,Standard,F,0,7,14,0,Control,1,0,0,6,0.1286,0.15744,0.0288,18
6/12/19,Standard,F,0,8,14,0,Control,1,0,0,8,0.1248,0.15744,0.03264,11
6/12/19,Standard,F,0,9,14,0,Control,1,0,0,4,0.1267,0.1536,0.02688,9
6/12/19,Standard,F,0,10,14,0,Control,1,0,0,5,0.1152,0.15936,0.04416,12
6/12/19,Standard,F,0,11,14,0,Control,1,0,0,5,0.1171,0.15936,0.04224,15
6/12/19,Standard,F,0,12,14,0,Control,1,0,0,3,0.1306,0.15936,0.0288,11
6/12/19,Standard,F,0,13,14,0,Control,1,0,0,4,0.1171,0.15552,0.0384,14
6/12/19,Standard,F,0,14,14,0,Control,1,0,0,7,0.1152,0.1536,0.0384,11
6/12/19,Standard,F,0,15,2,1,Control,1,0,0,,0.1133,-,,
6/12/19,Standard,F,0,16,14,0,Control,1,0,0,5,0.119,0.16128,0.04224,17
6/12/19,Standard,F,0,17,14,0,Control,1,0,0,7,0.1286,0.1632,0.03456,9
6/12/19,Standard,F,0,18,14,0,Control,1,0,0,6,0.1286,0.1632,0.03456,12
6/12/19,Standard,F,0,19,14,0,Control,1,0,0,2,0.1152,0.1632,0.048,12
6/12/19,Standard,F,0,20,14,0,Control,1,0,0,6,0.1248,0.1632,0.0384,12
6/12/19,Standard,F,0,21,14,0,Control,1,0,0,5,0.1152,,,
6/12/19,Standard,F,0,22,14,0,Control,1,0,0,4,0.1229,0.1632,0.04032,8
6/12/19,Standard,F,0,23,14,0,Control,1,0,0,2,0.1114,0.15936,0.048,12
6/12/19,Standard,F,0,24,14,0,Control,1,0,0,7,0.1248,0.16128,0.03648,12
6/12/19,Standard,F,0,25,14,0,Control,1,0,0,1,0.1229,0.16128,0.0384,17
6/12/19,Standard,F,0,26,14,0,Control,1,0,0,8,0.119,0.16128,0.04224,15
6/12/19,Standard,M,0,27,,,Control,1,0,0,0,0.096,0.10752,,
6/12/19,Standard,F,0,28,14,0,Control,1,0,0,3,0.1286,0.15744,0.0288,19
6/12/19,Standard,F,0,29,14,0,Control,1,0,0,6,0.1133,0.14784,0.03456,11
6/12/19,Standard,F,0,30,14,0,Control,1,0,0,2,0.119,0.15936,0.04032,12
6/12/19,Standard,F,150,11,0,1,DayZero,0,0,0,,-,-,,
6/12/19,Standard,F,150,19,0,1,DayZero,0,0,0,,-,-,,
6/12/19,Standard,F,300,30,0,1,DayZero,0,0,0,,-,-,,
6/12/19,A45,F,150,1,14,0,Exposed,0,0,1,2,0.1114,0.16128,0.04992,19
6/12/19,A45,F,150,2,14,0,Exposed,0,0,1,6,0.1286,0.16128,0.03264,9
6/12/19,A45,F,150,3,14,0,Exposed,0,0,1,4,0.1248,0.1632,0.0384,11
6/12/19,A45,F,150,5,14,0,Exposed,0,0,1,2,0.1248,0.1632,0.0384,19
6/12/19,A45,F,150,9,3,1,Exposed,0,0,1,,-,,,
6/12/19,A45,F,150,10,14,0,Exposed,0,0,1,6,0.1306,0.16512,0.03456,9
6/12/19,A45,F,150,11,14,0,Exposed,0,0,1,6,0.1344,0.1632,0.0288,10
6/12/19,A45,F,150,12,14,0,Exposed,0,0,1,6,0.1267,0.1632,0.03648,11
6/12/19,A45,F,150,13,14,0,Exposed,0,0,1,3,0.121,0.16704,0.04608,18
6/12/19,A45,F,150,14,2,1,Exposed,0,0,1,,-,-,,7
6/12/19,A45,F,150,15,14,0,Exposed,0,0,1,8,0.1306,0.1632,0.03264,10
6/12/19,A45,F,150,16,14,0,Exposed,0,0,1,5,0.1286,0.15744,0.0288,9
6/12/19,A45,F,150,17,14,0,Exposed,0,0,1,3,0.1056,0.1632,0.0576,12
6/12/19,A45,F,150,18,14,0,Exposed,0,0,1,1,0.1171,0.1632,0.04608,19
6/12/19,A45,F,150,19,1,1,Exposed,0,0,1,,-,-,,
6/12/19,A45,F,150,21,14,0,Exposed,0,0,1,5,0.1306,0.17088,0.04032,10
6/12/19,A45,F,150,22,14,0,Exposed,0,0,1,7,0.1306,0.1632,0.03264,9
6/12/19,A45,F,150,23,14,0,Exposed,0,0,1,0,0.1094,0.1632,0.05376,
6/12/19,A45,F,150,24,14,0,Exposed,0,0,1,0,0.1133,0.1632,0.04992,
6/12/19,A45,F,150,25,14,0,Exposed,0,0,1,6,0.1248,0.15936,0.03456,9
6/12/19,A45,F,150,27,14,0,Exposed,0,0,1,2,0.119,0.16512,0.04608,19
6/12/19,A45,F,150,29,14,0,Exposed,0,0,1,6,0.1094,,,
6/12/19,A45,F,150,30,3,1,Exposed,0,0,1,0,0.1286,,,
6/12/19,A45,F,300,1,14,0,Exposed,0,0,1,5,0.119,0.1632,0.04416,11
6/12/19,A45,F,300,2,14,0,Exposed,0,0,1,3,0.1152,0.15936,0.04416,13
6/12/19,A45,F,300,3,14,0,Exposed,0,0,1,1,0.1075,0.15936,0.05184,19
6/12/19,A45,F,300,6,1,1,Exposed,0,0,1,,-,-,,
6/12/19,A45,F,300,7,6,1,Exposed,0,0,1,0,0.1325,-,,
6/12/19,A45,F,300,9,2,1,Exposed,0,0,1,,0.1306,-,,
6/12/19,A45,F,300,12,14,0,Exposed,0,0,1,5,0.1286,0.17088,0.04224,10
6/12/19,A45,F,300,13,14,0,Exposed,0,0,1,10,0.1382,0.1728,0.03456,8
6/12/19,A45,F,300,14,5,1,Exposed,0,0,1,0,0.121,-,,
6/12/19,A45,F,300,15,1,1,Exposed,0,0,1,,-,-,,
6/12/19,A45,F,300,19,11,0,Exposed,0,0,1,2,0.1114,-,,
6/12/19,A45,F,300,20,14,0,Exposed,0,0,1,9,0.1382,0.16512,0.02688,9
6/12/19,A45,F,300,21,1,1,Exposed,0,0,1,,-,-,,
6/12/19,A45,F,300,22,14,0,Exposed,0,0,1,3,0.1133,0.1632,0.04992,18
6/12/19,A45,F,300,23,14,0,Exposed,0,0,1,2,0.0902,0.16704,0.0768,19
6/12/19,A45,F,300,25,14,0,Exposed,0,0,1,1,0.1056,0.1632,0.0576,19
6/12/19,A45,F,300,26,14,0,Exposed,0,0,1,6,0.1306,0.15936,0.0288,9
6/12/19,A45,F,300,28,14,0,Exposed,0,0,1,1,0.1152,0.17088,0.05568,19
6/12/19,A45,F,300,29,14,0,Exposed,0,0,1,3,0.1152,0.1536,0.0384,12
6/12/19,A45,F,300,30,12,1,Exposed,0,0,1,3,0.1248,-,,11
6/12/19,Midland 252,F,150,1,14,0,Exposed,0,0,1,4,0.1248,0.15168,0.02688,9
6/12/19,Midland 252,F,150,2,14,0,Exposed,0,0,1,7,0.1382,0.1536,0.01536,9
6/12/19,Midland 252,F,150,3,14,0,Exposed,0,0,1,2,0.0768,0.14976,0.07296,20
6/12/19,Midland 252,F,150,4,14,0,Exposed,0,0,1,8,0.1286,0.15936,0.03072,9
6/12/19,Midland 252,F,150,5,14,0,Exposed,0,0,1,8,0.1267,0.15168,0.02496,7
6/12/19,Midland 252,F,150,6,14,0,Exposed,0,0,1,0,0.0826,0.144,0.06144,
6/12/19,Midland 252,F,150,7,7,1,Exposed,0,0,1,2,0.1267,-,,10
6/12/19,Midland 252,F,150,8,14,0,Exposed,0,0,1,14,0.1344,0.1632,0.0288,8
6/12/19,Midland 252,F,150,9,14,0,Exposed,0,0,1,9,0.1344,0.15168,0.01728,8
6/12/19,Midland 252,F,150,10,2,1,Exposed,0,0,1,,0.1056,-,,
6/12/19,Midland 252,F,150,13,8,1,Exposed,0,0,1,4,0.1229,-,,9
6/12/19,Midland 252,F,150,14,3,1,Exposed,0,0,1,,0.1248,-,,
6/12/19,Midland 252,F,150,15,14,0,Exposed,0,0,1,7,0.119,0.144,0.02496,9
6/12/19,Midland 252,F,150,16,14,0,Exposed,0,0,1,12,0.1325,0.14976,0.01728,8
6/12/19,Midland 252,F,150,18,3,1,Exposed,0,0,1,,0.1056,-,,
6/12/19,Midland 252,F,150,19,14,0,Exposed,0,0,1,5,0.1018,0.15936,0.0576,19
6/12/19,Midland 252,F,150,23,14,0,Exposed,0,0,1,9,0.1248,0.14976,0.02496,11
