"","Genotype","Spore_level","Animal","Plate","Control_mean","mean_surface_area","mean_init_length","mean_final_length","mean_final_surface_area","mean_growth_length","mean_feeding_rate","susc","inf","censured","spores_ul","fecundity","age_clutch_1"
"145","Midland 281",0,3,"M281_0",46112.8,1.7551,1.325,1.632,2.663424,0.9083,0.41874900892031,1,0,0,0,2,12
"146","Midland 281",0,4,"M281_0",46112.8,1.3717,1.171,NA,NA,NA,0.26182410832003,1,0,1,0,4,11
"147","Midland 281",0,5,"M281_0",46112.8,1.2401,1.114,1.5744,2.47873536,1.2386,0.159543520468309,1,0,0,0,0,NA
"148","Midland 281",0,6,"M281_0",46112.8,1.6058,1.267,1.5552,2.41864704,0.8129,0.163417073611755,1,0,0,0,0,NA
"149","Midland 281",0,7,"M281_0",46112.8,1.1151,1.056,1.536,2.359296,1.2442,0.169759841137913,1,0,0,0,0,NA
"150","Midland 281",0,8,"M281_0",46112.8,1.5099,1.229,NA,NA,NA,0.423257925500019,1,0,1,0,0,NA
"151","Midland 281",0,9,"M281_0",46112.8,1.7046,1.306,NA,NA,NA,0.340007841868482,1,0,1,0,0,NA
"152","Midland 281",0,10,"M281_0",46112.8,1.7046,1.306,1.5936,2.53956096,0.835,0.557980206076901,1,0,0,0,2,12
"153","Midland 281",0,11,"M281_0",46112.8,1.7551,1.325,1.5552,2.41864704,0.6636,0.425917609569757,1,0,0,0,2,9
"154","Midland 281",0,12,"M281_0",46112.8,1.4631,1.21,1.6128,2.60112384,1.138,0.460697239170397,1,0,0,0,0,NA
"155","Midland 281",0,13,"M281_0",46112.8,1.4631,1.21,1.4208,2.01867264,0.5555,0.300804656246739,1,0,0,0,4,9
"156","Midland 281",0,14,"M281_0",46112.8,1.5575,1.248,1.5168,2.30068224,0.7432,0.783169341414644,1,0,0,0,3,11
"157","Midland 281",0,15,"M281_0",46112.8,1.4631,1.21,1.4208,2.01867264,0.5555,0.586662767478414,1,0,0,0,0,NA
"158","Midland 281",0,16,"M281_0",46112.8,1.1561,1.075,1.536,2.359296,1.2032,0.251125158898676,1,0,0,0,2,18
"159","Midland 281",0,17,"M281_0",46112.8,1.4171,1.19,1.5744,2.47873536,1.0617,0.307921766913559,1,0,0,0,4,11
"160","Midland 281",0,18,"M281_0",46112.8,1.8063,1.344,1.6128,2.60112384,0.7948,0.393711441340647,1,0,0,0,5,9
"161","Midland 281",0,19,"M281_0",46112.8,1.4171,1.19,1.632,2.663424,1.2464,0.121085520239192,1,0,0,0,1,20
"162","Midland 281",0,20,"M281_0",46112.8,1.6058,1.267,1.536,2.359296,0.7535,0.228143671686449,1,0,0,0,2,12
"163","Midland 281",0,21,"M281_0",46112.8,1.5575,1.248,NA,NA,NA,0.255877324762995,1,0,0,0,2,11
"164","Midland 281",0,22,"M281_0",46112.8,1.4631,1.21,1.4976,2.24280576,0.7797,0.235403080533183,1,0,0,0,0,NA
"165","Midland 281",0,23,"M281_0",46112.8,1.5099,1.229,1.5936,2.53956096,1.0296,0.174039343010998,1,0,0,0,2,11
"166","Midland 281",0,24,"M281_0",46112.8,1.7551,1.325,1.5936,2.53956096,0.7845,0.228555773566825,1,0,0,0,3,10
"167","Midland 281",0,25,"M281_0",46112.8,1.5099,1.229,1.5744,2.47873536,0.9688,0.453073433741929,1,0,0,0,2,11
"168","Midland 281",0,26,"M281_0",46112.8,1.7551,1.325,1.5552,2.41864704,0.6636,0.114458653748739,1,0,0,0,3,9
"169","Midland 281",0,27,"M281_0",46112.8,1.8063,1.344,1.6704,2.79023616,0.9839,0.357365541305724,1,0,0,0,2,16
"170","Midland 281",0,28,"M281_0",46112.8,0.8493,0.922,1.4016,1.96448256,1.1151,0.0283724961976745,1,0,0,0,1,11
"171","Midland 281",0,29,"M281_0",46112.8,1.8063,1.344,1.6128,2.60112384,0.7948,0.503281883140611,1,0,0,0,3,10
"172","Midland 281",0,30,"M281_0",46112.8,1.8063,1.344,1.5936,2.53956096,0.7332,0.462535410483395,1,0,0,0,7,9
"173","Midland 281",150,1,"M281_150",43403.6666666667,1.5575,1.248,1.536,2.359296,0.8018,0.541460380088563,1,0,0,0,2,11
"174","Midland 281",150,2,"M281_150",43403.6666666667,1.7046,1.306,NA,NA,NA,0.858648496534431,NA,NA,NA,0,0,NA
"175","Midland 281",150,3,"M281_150",43403.6666666667,1.5575,1.248,1.5744,2.47873536,0.9212,0.812343738976704,1,0,0,0,1,11
"176","Midland 281",150,4,"M281_150",43403.6666666667,1.2401,1.114,1.5168,2.30068224,1.0606,0.520805524642302,1,0,0,0,0,NA
"177","Midland 281",150,5,"M281_150",43403.6666666667,1.1561,1.075,1.536,2.359296,1.2032,0.543691329390241,1,0,0,0,1,17
"178","Midland 281",150,6,"M281_150",43403.6666666667,1.1561,1.075,1.4976,2.24280576,1.0868,0.452327236912644,1,0,0,0,1,12
"179","Midland 281",150,7,"M281_150",43403.6666666667,0.7465,0.864,1.344,1.806336,1.0598,0.535702328325711,0,1,0,47.4397026,1,18
"180","Midland 281",150,8,"M281_150",43403.6666666667,1.4631,1.21,NA,NA,NA,0.357115746051231,NA,NA,NA,NA,3,NA
"181","Midland 281",150,9,"M281_150",43403.6666666667,1.8583,1.363,1.5936,2.53956096,0.6812,0.622062110593478,1,0,0,0,7,9
"182","Midland 281",150,10,"M281_150",43403.6666666667,1.2401,1.114,1.4592,2.12926464,0.8892,0.539517838876201,1,0,0,0,1,9
"183","Midland 281",150,11,"M281_150",43403.6666666667,1.2832,1.133,1.4976,2.24280576,0.9596,0.624942550260637,1,0,0,0,3,11
"184","Midland 281",150,12,"M281_150",43403.6666666667,1.8063,1.344,NA,NA,NA,0.729917467716514,NA,NA,NA,NA,1,NA
"185","Midland 281",150,13,"M281_150",43403.6666666667,1.8063,1.344,NA,NA,NA,0.703203717165654,NA,NA,NA,NA,3,NA
"186","Midland 281",150,14,"M281_150",43403.6666666667,1.4171,1.19,1.536,2.359296,0.9422,0.439580897884759,1,0,0,0,4,11
"187","Midland 281",150,15,"M281_150",43403.6666666667,2.0736,1.44,1.6512,2.72646144,0.6529,0.577819335966904,1,0,0,0,1,19
"188","Midland 281",150,16,"M281_150",43403.6666666667,1.5575,1.248,NA,NA,NA,0.583478034904952,NA,NA,NA,NA,3,NA
"189","Midland 281",150,17,"M281_150",43403.6666666667,1.2832,1.133,1.5936,2.53956096,1.2563,0.590977004132006,1,0,0,0,1,12
"190","Midland 281",150,18,"M281_150",43403.6666666667,1.8063,1.344,1.6704,2.79023616,0.9839,0.961245138562528,1,0,0,0,8,11
"191","Midland 281",150,19,"M281_150",43403.6666666667,1.6548,1.286,1.5744,2.47873536,0.8239,0.615718921482725,1,0,0,0,3,11
"192","Midland 281",150,20,"M281_150",43403.6666666667,1.5099,1.229,1.4976,2.24280576,0.7329,0.751826918745937,1,0,0,0,4,9
"193","Midland 281",150,21,"M281_150",43403.6666666667,NA,NA,NA,NA,0,0.593531047927815,NA,NA,NA,NA,0,NA
"194","Midland 281",150,22,"M281_150",43403.6666666667,1.3717,1.171,1.5744,2.47873536,1.107,0.247431781172505,1,0,0,0,1,11
"195","Midland 281",150,23,"M281_150",43403.6666666667,1.1977,1.094,NA,NA,NA,0.520819899328159,NA,NA,NA,NA,0,NA
"196","Midland 281",150,24,"M281_150",43403.6666666667,1.5575,1.248,1.536,2.359296,0.8018,0.821762094525023,1,0,0,0,2,9
"197","Midland 281",150,25,"M281_150",43403.6666666667,1.3717,1.171,1.4976,2.24280576,0.8711,0.543648773757946,1,0,0,0,1,11
"198","Midland 281",150,26,"M281_150",43403.6666666667,1.8063,1.344,1.5936,2.53956096,0.7332,0.877810333829744,1,0,0,0,1,10
"199","Midland 281",150,27,"M281_150",43403.6666666667,1.7551,1.325,1.5744,2.47873536,0.7236,0.54876283804961,1,0,0,0,2,11
"200","Midland 281",150,28,"M281_150",43403.6666666667,1.6548,1.286,1.6128,2.60112384,0.9463,0.482106161867082,1,0,0,0,4,11
"201","Midland 281",150,29,"M281_150",43403.6666666667,1.7046,1.306,1.5552,2.41864704,0.7141,0.79757685782314,1,0,0,0,2,9
"202","Midland 281",150,30,"M281_150",43403.6666666667,1.5575,1.248,1.5168,2.30068224,0.7432,0.523537899411473,1,0,0,0,4,9
"203","Midland 281",300,1,"M281_300",40700.1666666667,1.5099,1.229,1.5552,2.41864704,0.9087,0.158263825889823,1,0,0,0,2,18
"204","Midland 281",300,2,"M281_300",40700.1666666667,1.5575,1.248,NA,NA,NA,0.239377206912389,NA,NA,1,NA,0,NA
"205","Midland 281",300,3,"M281_300",40700.1666666667,1.7046,1.306,1.5936,2.53956096,0.835,0.284853096336361,1,0,0,0,3,9
"206","Midland 281",300,4,"M281_300",40700.1666666667,1.5575,1.248,1.632,2.663424,1.1059,0.378563847604096,1,0,0,0,3,11
"207","Midland 281",300,5,"M281_300",40700.1666666667,1.6548,1.286,1.536,2.359296,0.7045,0.44635064254117,1,0,0,0,3,10
"208","Midland 281",300,6,"M281_300",40700.1666666667,1.8063,1.344,1.632,2.663424,0.8571,0.285874761928747,0,1,0,24.51172137,4,10
"209","Midland 281",300,7,"M281_300",40700.1666666667,1.7046,1.306,1.6128,2.60112384,0.8965,0.36350365564761,1,0,0,0,6,9
"210","Midland 281",300,9,"M281_300",40700.1666666667,1.7551,1.325,1.6512,2.72646144,0.9714,0.217245178269338,1,0,0,0,7,9
"211","Midland 281",300,10,"M281_300",40700.1666666667,1.4171,1.19,NA,NA,NA,0.249625435477495,NA,NA,1,0,0,NA
"212","Midland 281",300,11,"M281_300",40700.1666666667,1.7046,1.306,1.5552,2.41864704,0.7141,0.131508233050642,1,0,0,0,3,12
"213","Midland 281",300,12,"M281_300",40700.1666666667,0.7465,0.864,NA,NA,NA,0.218489547883876,NA,NA,1,NA,0,NA
"214","Midland 281",300,13,"M281_300",40700.1666666667,1.4171,1.19,NA,NA,NA,0.205178320390365,NA,NA,1,NA,0,NA
"215","Midland 281",300,14,"M281_300",40700.1666666667,1.075,1.037,1.6128,2.60112384,1.5262,0.0194424957878416,1,0,0,0,0,NA
"216","Midland 281",300,15,"M281_300",40700.1666666667,1.7551,1.325,1.632,2.663424,0.9083,0.128078064408184,1,0,0,0,1,12
"217","Midland 281",300,16,"M281_300",40700.1666666667,1.4171,1.19,1.536,2.359296,0.9422,0.117597160260975,1,0,0,0,4,11
"218","Midland 281",300,17,"M281_300",40700.1666666667,1.5575,1.248,1.4784,2.18566656,0.6282,0.212847668400641,1,0,NA,0,3,NA
"219","Midland 281",300,18,"M281_300",40700.1666666667,NA,NA,NA,NA,0,0.280733403641083,NA,NA,1,NA,0,NA
"220","Midland 281",300,19,"M281_300",40700.1666666667,1.8063,1.344,1.6128,2.60112384,0.7948,0.146942558544358,1,0,0,0,4,12
"221","Midland 281",300,21,"M281_300",40700.1666666667,1.6548,1.286,1.632,2.663424,1.0086,0.176624888574823,1,0,0,0,4,12
"222","Midland 281",300,22,"M281_300",40700.1666666667,1.4631,1.21,1.5744,2.47873536,1.0156,0.0964664534488175,1,0,0,0,5,11
"223","Midland 281",300,24,"M281_300",40700.1666666667,1.2401,1.114,1.5168,2.30068224,1.0606,0.0798738078699241,1,0,0,0,5,11
"224","Midland 281",300,29,"M281_300",40700.1666666667,1.8583,1.363,1.632,2.663424,0.8051,0.391642888858691,1,0,0,0,3,12
"225","Standard",0,1,"STD_0",45836.75,1.5575,1.248,NA,NA,NA,0.0739951958847108,1,0,1,0,NA,NA
"226","Standard",0,5,"STD_0",45836.75,1.7551,1.325,1.632,2.663424,0.9083,0.123749967271241,1,0,0,0,4,9
"227","Standard",0,6,"STD_0",45836.75,1.8063,1.344,1.632,2.663424,0.8571,0.249424723991921,1,0,0,0,6,9
"228","Standard",0,7,"STD_0",45836.75,1.6548,1.286,1.5744,2.47873536,0.8239,0.0740608441283039,1,0,0,0,6,18
"229","Standard",0,8,"STD_0",45836.75,1.5575,1.248,1.5744,2.47873536,0.9212,0.248183850834249,1,0,0,0,8,11
"230","Standard",0,9,"STD_0",45836.75,1.6058,1.267,1.536,2.359296,0.7535,0.27528243794146,1,0,0,0,4,9
"231","Standard",0,10,"STD_0",45836.75,1.3271,1.152,1.5936,2.53956096,1.2125,0.232513737958384,1,0,0,0,5,12
"232","Standard",0,12,"STD_0",45836.75,1.7046,1.306,1.5936,2.53956096,0.835,0.179376801356907,1,0,0,0,3,11
"233","Standard",0,17,"STD_0",45836.75,1.6548,1.286,1.632,2.663424,1.0086,0.197504861019138,1,0,0,0,7,9
"234","Standard",0,18,"STD_0",45836.75,1.6548,1.286,1.632,2.663424,1.0086,0.184861785463749,1,0,0,0,6,12
"235","Standard",0,20,"STD_0",45836.75,1.5575,1.248,1.632,2.663424,1.1059,0.313193128292472,1,0,0,0,6,12
"236","Standard",0,21,"STD_0",45836.75,1.3271,1.152,NA,NA,NA,0.000179218661417011,1,0,0,0,5,NA
"237","Standard",0,22,"STD_0",45836.75,1.5099,1.229,1.632,2.663424,1.1535,0.00304977923039244,1,0,0,0,4,8
"238","Standard",0,23,"STD_0",45836.75,1.2401,1.114,1.5936,2.53956096,1.2995,0.22690833580159,1,0,0,0,2,12
"239","Standard",0,24,"STD_0",45836.75,1.5575,1.248,1.6128,2.60112384,1.0436,0.199232091313023,1,0,0,0,7,12
"240","Standard",0,28,"STD_0",45836.75,1.6548,1.286,1.5744,2.47873536,0.8239,0.0208018141516825,1,0,0,0,3,19
"241","Standard",0,30,"STD_0",45836.75,1.4171,1.19,1.5936,2.53956096,1.1225,0.136801133123172,1,0,0,0,2,12
"242","Standard",150,1,"STD_150",45754.4444444444,1.4631,1.21,1.536,2.359296,0.8962,0.0479373562045373,0,1,0,73.56031816,5,15
"243","Standard",150,2,"STD_150",45754.4444444444,1.6548,1.286,1.5936,2.53956096,0.8847,0.120815468341538,0,1,0,85.22576818,8,12
"244","Standard",150,3,"STD_150",45754.4444444444,1.3717,1.171,1.6128,2.60112384,1.2294,0.122888397743927,0,1,0,95.79102237,6,12
"245","Standard",150,4,"STD_150",45754.4444444444,1.2832,1.133,NA,NA,NA,0.0563432380359259,NA,NA,1,NA,0,NA
"246","Standard",150,6,"STD_150",45754.4444444444,1.5099,1.229,1.5936,2.53956096,1.0296,0.321928669076078,0,1,0,83.75,4,11
"247","Standard",150,7,"STD_150",45754.4444444444,1.7551,1.325,1.5552,2.41864704,0.6636,0.157959868334038,0,1,0,52.70497023,7,12
"248","Standard",150,10,"STD_150",45754.4444444444,1.6058,1.267,1.536,2.359296,0.7535,0.00501829202011886,0,1,0,103.4101047,9,11
"249","Standard",150,11,"STD_150",45754.4444444444,NA,NA,NA,NA,NA,0.122585441971125,NA,NA,1,NA,0,NA
"250","Standard",150,12,"STD_150",45754.4444444444,1.5575,1.248,NA,NA,NA,0.0216266599524022,NA,NA,NA,NA,3,NA
"251","Standard",150,13,"STD_150",45754.4444444444,1.4631,1.21,1.5168,2.30068224,0.8376,0.207879818451259,0,1,0,84.96936392,6,11
"252","Standard",150,14,"STD_150",45754.4444444444,1.3271,1.152,1.536,2.359296,1.0322,0.0994612317576316,0,1,0,53.50132257,8,9
"253","Standard",150,15,"STD_150",45754.4444444444,1.5575,1.248,1.5744,2.47873536,0.9212,0.0741217681589161,0,1,0,42.81507919,4,13
"254","Standard",150,16,"STD_150",45754.4444444444,1.8063,1.344,1.5936,2.53956096,0.7332,0.000888384882500786,0,1,0,110.7902004,10,7
"255","Standard",150,17,"STD_150",45754.4444444444,1.7551,1.325,1.5168,2.30068224,0.5456,0.182032527141063,0,1,0,46.2327142,0,NA
"256","Standard",150,18,"STD_150",45754.4444444444,1.6548,1.286,1.4592,2.12926464,0.4744,0.113523493028163,0,1,0,58.13939251,6,12
"257","Standard",150,19,"STD_150",45754.4444444444,NA,NA,NA,NA,NA,0.121127905323442,NA,NA,1,NA,0,NA
"258","Standard",150,20,"STD_150",45754.4444444444,0.8493,0.922,0.96,0.9216,0.0723,0.146531031952998,0,1,0,44.58608254,0,NA
"259","Standard",150,29,"STD_150",45754.4444444444,1.4631,1.21,1.5552,2.41864704,0.9555,0.0717888160130378,0,1,0,112.8922549,5,7
"260","Standard",150,30,"STD_150",45754.4444444444,1.5099,1.229,1.5168,2.30068224,0.7907,0.108637479884193,0,1,0,50.33646456,5,13
"261","Standard",300,1,"STD_300",41108.1111111111,1.5575,1.248,1.4784,2.18566656,0.6282,0.0775510738697005,0,1,0,79.71020019,6,7
"262","Standard",300,2,"STD_300",41108.1111111111,1.8063,1.344,1.536,2.359296,0.553,0.0805172280036318,0,1,0,102.8992267,7,7
"263","Standard",300,3,"STD_300",41108.1111111111,1.5575,1.248,1.5168,2.30068224,0.7432,0.130558478538139,0,1,0,69.35882614,6,11
"264","Standard",300,4,"STD_300",41108.1111111111,1.7551,1.325,1.536,2.359296,0.6042,0.190049235875962,0,1,0,116.9347258,5,11
"265","Standard",300,6,"STD_300",41108.1111111111,1.3717,1.171,1.4208,2.01867264,0.647,0.0383922596656273,0,1,1,125.1904915,7,9
"266","Standard",300,8,"STD_300",41108.1111111111,1.7046,1.306,1.536,2.359296,0.6547,0.165611865575198,0,1,0,97.5198185,8,12
"267","Standard",300,10,"STD_300",41108.1111111111,1.2401,1.114,1.4592,2.12926464,0.8892,0.126377597871506,0,1,0,81.10652353,4,12
"268","Standard",300,11,"STD_300",41108.1111111111,1.7551,1.325,1.5168,2.30068224,0.5456,0.154871587618131,0,1,0,101.6017607,3,12
"269","Standard",300,12,"STD_300",41108.1111111111,1.6058,1.267,1.5168,2.30068224,0.6949,0.0754252350373628,0,1,0,93.03843762,4,11
"270","Standard",300,13,"STD_300",41108.1111111111,0.9216,0.96,1.056,1.115136,0.1935,0.0333342532613531,0,1,0,16.53971557,0,NA
"271","Standard",300,14,"STD_300",41108.1111111111,1.2832,1.133,1.4208,2.01867264,0.7354,0.12432696690074,0,1,0,48.95070423,7,13
"272","Standard",300,15,"STD_300",41108.1111111111,1.3271,1.152,1.5168,2.30068224,0.9736,0.0813725766888216,0,1,0,111.3961481,4,13
"273","Standard",300,17,"STD_300",41108.1111111111,1.911,1.382,1.536,2.359296,0.4483,0.0427204565246929,0,1,0,53.04729322,10,7
"274","Standard",300,18,"STD_300",41108.1111111111,1.5575,1.248,1.5168,2.30068224,0.7432,0.0417182265219211,0,1,NA,80.92003149,3,13
"275","Standard",300,20,"STD_300",41108.1111111111,1.8063,1.344,1.536,2.359296,0.553,0.165665916062913,0,1,0,82.55818744,6,11
"276","Standard",300,21,"STD_300",41108.1111111111,1.1977,1.094,NA,NA,NA,0.000942464509259188,NA,NA,NA,NA,0,NA
"277","Standard",300,22,"STD_300",41108.1111111111,1.3271,1.152,1.536,2.359296,1.0322,0.0731727159511044,0,1,0,73.69714476,9,NA
"278","Standard",300,23,"STD_300",41108.1111111111,1.5575,1.248,NA,NA,NA,0.183424881406475,NA,1,NA,0,0,NA
"279","Standard",300,24,"STD_300",41108.1111111111,1.3717,1.171,1.632,2.663424,1.2917,0.0662227492275573,0,1,0,78.82289197,4,19
"280","Standard",300,25,"STD_300",41108.1111111111,1.2401,1.114,NA,NA,NA,0.0700818109579731,NA,1,1,NA,0,NA
"281","Standard",300,26,"STD_300",41108.1111111111,1.2401,1.114,NA,NA,NA,0.102758831403722,NA,1,1,NA,0,NA
"282","Standard",300,27,"STD_300",41108.1111111111,1.5099,1.229,1.5552,2.41864704,0.9087,0.120620172268391,0,1,0,110.9251235,5,15
"283","Standard",300,28,"STD_300",41108.1111111111,1.5099,1.229,1.6128,2.60112384,1.0912,0.00390135956729185,0,1,NA,53.64416854,9,NA
